,Tags_Will revert after reading the email,Total Time Spent on Website,Lead Profile_Potential Lead,Last Notable Activity_SMS Sent,What is your current occupation_Working Professional,Lead Origin_Lead Add Form,Tags_Interested in other courses,Last Activity_SMS Sent,Lead Profile_Unspecified,What is your current occupation_Unemployed,Tags_Ringing,Lead Source_Reference,Tags_Closed by Horizzon,Last Activity_Olark Chat Conversation,Last Notable Activity_Modified,Specialization_Unspecified,Lead Source_Olark Chat,Tags_Busy,Do Not Email_Yes,Tags_switched off,Tags_In confusion whether part time or DLP,City_Other Metro Cities,A free copy of Mastering The Interview_Yes,Lead Profile_Student of SomeSchool,Specialization_Rural and Agribusiness,How did you hear about X Education_Social Media,Last Activity_Email Link Clicked,Lead Source_Welingak Website,Tags_Lost to Others,Specialization_Business Administration,Tags_Lost to EINS,Last Activity_Had a Phone Conversation,Tags_Lateral student,Lead Source_Facebook,Last Activity_Converted to Lead,TotalVisits,Last Activity_Visited Booth in Tradeshow,Lead Source_youtubechannel,Tags_Not doing further education,Specialization_IT Projects Management,Lead Source_welearnblog_Home,Tags_Interested  in full time MBA,Lead Source_bing,Lead Source_Pay per Click Ads,Lead Source_Referral Sites,Last Activity_View in browser link Clicked,Specialization_Operations Management,Last Notable Activity_Email Received,Specialization_Travel and Tourism,Lead Source_Direct Traffic,Lead Source_Social Media,Specialization_Supply Chain Management,Last Activity_Email Bounced,Tags_Interested in Next batch,Last Activity_Unsubscribed,Last Notable Activity_View in browser link Clicked,Specialization_Healthcare Management,Last Notable Activity_Unreachable,Last Notable Activity_Email Opened,How did you hear about X Education_Online Search,Tags_Diploma holder (Not Eligible),Last Activity_Form Submitted on Website,Last Notable Activity_Email Marked Spam,Tags_Shall take in the next coming month,Lead Source_Organic Search,Specialization_Marketing Management,Tags_Want to take admission but has financial problems,Last Notable Activity_Email Bounced,Tags_Recognition issue (DEC approval),Last Activity_Unreachable,Tags_invalid number,Lead Source_testone,Lead Source_Live Chat,Lead Source_Others,Lead Source_Press_Release,Last Activity_Email Marked Spam,Tags_University not recognized,Last Notable Activity_Olark Chat Conversation,Lead Source_Google,Last Notable Activity_Form Submitted on Website,Specialization_Services Excellence,What is your current occupation_Other,Lead Origin_Quick Add Form,Page Views Per Visit,City_Other Cities,Converted
5242,0,0.7642988757427513,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6621178914984045,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6512895128050066,0,0
987,0,0.17684070911616984,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1726516944229551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7949933014211268,0,0
410,0,-0.15702526756912338,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3838613628579513,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1691952413962954,0,0
8435,1,1.820628933124089,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3838613628579513,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1691952413962954,0,1
6308,1,-0.13330801239475829,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1726516944229551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7949933014211268,0,0
7217,1,1.269658851381146,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45090822306340833,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2770875728298379,0,1
4884,1,-0.8904357737302593,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9403744201388577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1333837842137178,0,1
8559,0,-0.8083375827420725,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7291647517038615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3128990300124157,0,0
2739,0,0.44867694149927745,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.1056048342174981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3128990300124157,0,1
7952,0,1.4557480842877029,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1056048342174981,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.410242377100651,0,0
